skim_type;skim_variable;Province;numeric.mean;numeric.sd;numeric.p0;numeric.p25;numeric.p50;numeric.p75;numeric.p100;numeric.hist
numeric;Wage;Aceh;1057,5427; 94,75780; 968,8807; 988,7005;1021,7114;1103,4416;1231,079;▇▃▁▁▃
numeric;Wage;Bali;1205,5958;192,06236;1001,0670;1079,7810;1090,1528;1336,2671;1529,853;▇▁▁▁▃
numeric;Wage;Bangka Belitung;1017,8652;133,92306; 784,6343; 955,8573; 994,9802;1120,1382;1248,154;▃▃▇▃▃
numeric;Wage;Banten;1371,9156;283,17962; 987,9893;1180,5550;1262,9185;1698,9220;1797,916;▂▇▁▁▅
numeric;Wage;Bengkulu;1049,2962; 68,58119; 955,0992; 998,1661;1025,0161;1117,6579;1178,792;▇▆▃▆▂
numeric;Wage;Central Java; 885,0267;148,46840; 668,8549; 804,9850; 841,0766;1013,7943;1123,694;▅▇▁▃▅
numeric;Wage;Central Kalimantan;1173,6343;188,66988; 857,2431;1110,5515;1139,3478;1366,1588;1452,080;▃▁▇▁▅
numeric;Wage;Central Sulawesi; 989,1213; 82,40955; 849,9456; 953,0113; 968,8528;1060,9136;1120,341;▅▇▇▅▇
numeric;Wage;East Java; 929,0857;155,30115; 734,6819; 833,5644; 857,9156;1083,9595;1185,140;▅▇▂▂▅
numeric;Wage;East Kalimantan;1537,9977;158,36159;1324,8087;1400,2078;1505,4023;1622,7830;1839,144;▇▃▅▂▃
numeric;Wage;East Nusa Tenggara; 938,8736; 48,63545; 880,4362; 904,8017; 927,5777; 970,2796;1037,077;▇▇▃▂▃
numeric;Wage;Gorontalo;1000,0019;160,30081; 683,7585; 911,7471; 932,1545;1139,7196;1226,290;▁▁▇▁▅
numeric;Wage;Jakarta;1706,3563;333,49386;1295,6926;1443,2854;1626,9340;2083,6181;2210,908;▇▅▂▁▆
numeric;Wage;Jambi; 941,1715; 97,56176; 755,7823; 873,4013; 927,3294; 981,9800;1092,738;▂▇▃▆▆
numeric;Wage;Lampung; 874,0615;138,96735; 724,7977; 752,6553; 832,9196;1035,7234;1079,045;▇▁▁▁▅
numeric;Wage;Maluku;1191,0888; 79,32375;1075,6800;1131,9555;1186,0490;1227,3376;1370,779;▇▆▆▃▂
numeric;Wage;North Kalimantan;1290,0377;243,54190; 880,5599;1110,7091;1257,4817;1593,9144;1613,047;▂▇▃▂▆
numeric;Wage;North Maluku;1205,1639;106,09201; 985,9135;1157,5294;1186,1449;1245,5494;1373,563;▂▃▇▃▅
numeric;Wage;North Sulawesi;1243,3266;214,34166; 929,6797;1142,0385;1194,1934;1402,2824;1571,663;▇▅▇▅▇
numeric;Wage;North Sumatra;1009,4812; 82,93938; 872,7189; 959,3973; 988,7716;1053,8869;1142,994;▂▇▇▂▆
numeric;Wage;Papua;1612,9472;165,67759;1280,0262;1532,6859;1575,7599;1686,5937;1900,160;▁▂▇▁▃
numeric;Wage;Riau;1188,7887; 97,66304;1036,1703;1138,9999;1210,0629;1230,5707;1322,858;▆▂▃▇▆
numeric;Wage;Riau Islands;1744,1783;232,94755;1365,3404;1574,8374;1702,4291;1905,3634;2051,593;▅▇▅▇▇
numeric;Wage;South Kalimantan;1066,3458;140,20873; 830,4254; 988,3388;1082,3609;1193,5144;1269,040;▃▆▆▂▇
numeric;Wage;South Sulawesi;1145,7087;197,84304; 876,7986;1059,6697;1085,3232;1340,1740;1452,373;▆▇▃▁▇
numeric;Wage;South Sumatra; 987,1581; 91,27453; 818,6933; 915,5411; 986,7094;1052,0884;1105,523;▃▃▆▃▇
numeric;Wage;Southeast Sulawesi;1079,7883;149,56072; 810,6322;1034,0716;1066,4422;1191,8644;1350,914;▃▁▇▂▂
numeric;Wage;West Java;1233,3452;249,05030; 942,2068;1057,3738;1118,9710;1537,6591;1645,044;▇▇▂▁▇
numeric;Wage;West Kalimantan; 954,3807; 69,68682; 845,5153; 899,3945; 947,5464; 992,8280;1077,586;▇▇▇▅▅
numeric;Wage;West Nusa Tenggara; 936,7717; 98,57190; 785,6668; 865,9231; 922,4697; 980,3569;1115,817;▃▇▇▁▆
numeric;Wage;West Papua;1551,0178;105,31394;1384,3453;1473,1708;1521,4044;1608,6710;1732,607;▃▇▁▆▃
numeric;Wage;West Sulawesi;1170,3436;130,44869; 986,8589;1070,6281;1178,3920;1279,3401;1377,351;▇▇▅▅▇
numeric;Wage;West Sumatra;1061,1548; 99,04800; 885,5141; 976,6485;1077,2291;1109,3040;1235,799;▂▇▇▂▆
numeric;Wage;Yogyakarta; 968,4756;125,49769; 784,3816; 899,7995; 942,1579;1072,1767;1189,176;▅▇▂▃▃
