Region;Province;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
SUMATERA;Aceh;1102.687;1196.115;1260.6;1348.9;1420.4;1456.8;1497.5;1567.9;1660.6;1731.2;1744.6;1918.7;2402.1;2192.7;2400.3;2549.4
SUMATERA;North Sumatera;808.136;889.477;1009.7;1093;1301.7;1344;1425.4;1477.5;1579.6;1676;1741.6;1921.4;2297.2;2152.6;2349.6;2436
SUMATERA;West Sumatera;1112.456;1116.158;1064.5;1152.6;1430.9;1488.1;1640.6;1716.5;1770.1;1881.1;1899.5;2013.9;2473.2;2394.4;2564.3;2769.3
SUMATERA;Riau;1218.72;1213.14;1233.7;1307.9;1359.5;1422.8;1739.9;1817.7;1929.2;2134.1;2099.4;2307.7;2545.8;2280.1;2688.4;2776.2
SUMATERA;Riau Islands;0;1327.662;1544.9;1632.5;1860.2;1897.9;2178.2;2277.3;2360;2744.9;3411.1;3503.4;3446.4;3559.8;3646.4;3972.6
SUMATERA;Jambi;1012.558;1182.479;928;1002.3;1244;1300.5;1349.6;1395.5;1527.9;1764.2;1860;1976.8;2204.6;2093.3;2313.2;2433.1
SUMATERA;Bengkulu;874.784;874.561;1125.6;1211.8;1400.6;1441.8;1549.2;1587.2;1699.2;1867.6;1931.3;2048.4;2497.4;2427.8;2494.2;2548.6
SUMATERA;South Sumatera;825.154;987.945;983.9;1067.8;1195.1;1222.4;1418.6;1475.1;1585.8;1596.2;1807.6;1958.7;2113.2;2050.8;2180;2256.5
SUMATERA;Bangka Belitung;916.897;1064.979;963.5;1014.7;1188.3;1247.1;1509.5;1572.8;1680;1933.8;1956.1;2214.2;2485.4;2518.6;2786.5;2911.2
SUMATERA;Lampung;743.289;689.819;844.7;951.6;1056.2;1077.3;1166.1;1220.8;1306.2;1564.3;1714.3;1889;2238.7;2268.1;2290.6;2329.1
JAWA;Jakarta;1100.874;1251.842;1510.7;1618.6;1901.3;1925.7;2052.7;2129.7;2300.2;2871.8;2918.2;3180.4;4067.6;4097.9;4462.4;4560.1
JAWA;Banten;1093.111;1134.114;1178.9;1260.4;1513;1564.4;1738.3;1843;1945.9;2366.7;2392.6;2648;3627.6;3664.4;3680.4;3951.3
JAWA;West Java;929.217;992.682;1100.8;1170.8;1308.6;1361.2;1511;1606.1;1669.3;1900.8;2004.5;2203.8;3057;2965.9;3053.7;3209.9
JAWA;Central Java;701.63;788.531;769.5;829;940.2;981;1182.1;1239.8;1313.1;1378.1;1455;1703.7;1988.1;1946;2145.3;2251.8
JAWA;Yogyakarta;759.003;860.084;993.5;1027.6;1148.2;1216.1;1360.7;1411.8;1539.2;1690.9;1745.7;2057.4;2345.2;2025.2;2230.9;2450.7
JAWA;East Java;779.311;848.643;868.1;912.4;1019.2;1046.4;1207.8;1269.2;1344.1;1490.8;1612.5;1785.6;2166.2;2134.6;2287.5;2417.8
