Region;Province;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
SUMATERA;Aceh;1102.687;1087.390229;1047.971232;1006.596919;1021.71139;988.7004834;982.4643551;1026.251848;1012.016353;976.1350059;968.8806629;1025.085103;1231.078744;1103.441614;1187.810568;1217.881407
SUMATERA;North Sumatera;808.136;838.2396093;892.669669;872.718876;1012.880387;968.3734441;990.7234546;988.7716404;959.3973221;941.0690352;947.1714942;982.6988121;1138.455838;1053.8869;1124.114061;1142.994417
SUMATERA;West Sumatera;1112.456;1032.982394;921.5568172;885.5141108;1077.229072;1038.872841;1086.961198;1091.779006;1015.45789;967.1473345;966.2116648;976.6484896;1175.579577;1109.304003;1168.508284;1235.798629
SUMATERA;Riau;1218.72;1141.087848;1079.197565;1040.420857;1063.082252;1036.17031;1210.06289;1223.530905;1193.673732;1215.345686;1164.723911;1230.570718;1302.847355;1138.999927;1311.966477;1322.858363
SUMATERA;Riau Islands;0;1269.418952;1408.883188;1365.340389;1528.293706;1455.00614;1610.653346;1644.864043;1574.837404;1702.429068;2026.479973;2010.366096;1901.217885;1897.874075;1905.363387;2051.592817
SUMATERA;Jambi;1012.558;1068.578715;780.6993168;755.7823321;915.2113199;865.6741773;874.2651852;867.4152125;873.401337;927.3294311;964.5055812;981.9208773;1064.887171;981.9799994;1070.119301;1092.737882
SUMATERA;Bengkulu;874.784;821.0215212;1006.402111;955.0992223;1072.995573;1012.582527;1046.616507;1025.016065;998.1661326;989.7385672;991.2635394;1001.301484;1178.791654;1119.599243;1117.65789;1132.022486
SUMATERA;South Sumatera;825.154;911.0240686;838.4901707;818.6932823;899.6101897;867.8967795;970.5224557;982.4905459;986.7093942;915.5410995;1005.663399;1052.088387;1102.422008;1041.335917;1084.558643;1105.522746
SUMATERA;Bangka Belitung;916.897;1000.724285;882.0947596;784.6342831;899.3856562;863.079927;994.980182;972.7744251;955.8572559;1008.904715;988.2258999;1047.876042;1140.592138;1120.138199;1207.644065;1248.15433
SUMATERA;Lampung;743.289;650.5931669;747.4813612;733.3745264;781.292927;724.7976621;752.6553306;755.5125975;751.5520383;832.919643;874.8446002;937.9463325;1079.045324;1064.183567;1038.951762;1035.723421
JAWA;Jakarta;1100.874;1180.670147;1343.713579;1295.692627;1487.143737;1418.124402;1453.967277;1443.21972;1443.28543;1653.893491;1626.934035;1732.110561;2135.799381;2083.61813;2197.935322;2210.908365
JAWA;Banten;1093.111;1053.339469;1029.968251;987.9893081;1153.029952;1123.633353;1206.874838;1225.995484;1180.554994;1302.891452;1262.918475;1357.796907;1788.967783;1747.412367;1698.922044;1797.916041
JAWA;West Java;929.217;939.2707814;985.2395928;942.206786;1031.447968;1006.824;1083.810505;1109.288567;1057.373796;1118.970958;1148.584129;1228.993607;1645.044223;1541.457938;1537.659061;1581.825901
JAWA;Central Java;701.63;740.4781372;680.1598314;668.8549431;734.1885966;716.7206518;841.0766433;846.2838616;830.0253108;804.9850133;827.3099655;946.3801114;1064.891801;1013.794319;1087.142185;1123.693808
JAWA;Yogyakarta;759.003;779.0569826;833.283372;784.3815897;851.4906698;839.8493993;904.5968249;899.7995069;914.1270345;942.157939;943.5396254;1087.101548;1189.175691;1000.269197;1072.176708;1161.516454
JAWA;East Java;779.311;795.6799972;765.4959043;734.6818978;793.6434181;760.8083576;842.1243296;846.8452608;833.5644088;857.9156219;900.2067546;970.3249476;1131.451845;1083.959531;1137.447801;1185.140361
BALNUSTRA;Bali;872.361;964.7670315;1017.419477;1001.067022;1125.401256;1068.912129;1089.938748;1079.780966;1042.150917;1090.152758;1087.898066;1228.82787;1475.088602;1336.267087;1517.406203;1529.85336
BALNUSTRA;West Nusa Tenggara;906.19;740.8022145;831.5300087;785.6668484;923.1471638;922.469743;848.4611832;865.9231066;857.2624963;890.7517737;914.0147541;980.3569089;1068.223514;926.8174231;1079.119522;1115.81711
BALNUSTRA;East Nusa Tenggara;847.123;711.8161322;921.2620287;904.8017042;1010.228691;945.7718594;927.5777437;916.0076663;880.4361742;893.6668009;880.70608;918.940855;1037.077268;941.5209203;970.2796228;978.3417281
KALIMANTAN;West Kalimantan;910.904;796.834757;918.9435995;887.2568118;891.7151483;845.5152583;925.2352792;916.6594863;899.3945193;947.5463811;967.7541933;992.8280177;1077.586247;973.7679267;1025.29633;1056.393885
