Region;Province;club;clubs;club_real;clubs_real;real_wage_2008;pmtb_gdrp;tpak;emp_manu;grdp;grdp_g
SUMATERA;Aceh;2;0;3;1;1006.596919;31.96294827;64.75956032;5.058009505;28744.30823;2.975359997
SUMATERA;North Sumatra;2;0;3;1;872.718876;29.88665888;71.45083224;8.072072228;108075.3048;5.576576659
SUMATERA;West Sumatra;2;0;3;1;885.5141108;29.62214938;69.34770399;7.247634382;34395.03769;5.655802155
SUMATERA;Riau;2;0;3;1;1040.420857;28.46564177;66.96678776;6.31950293;111631.4319;2.771345585
SUMATERA;Jambi;2;0;3;1;755.7823321;22.44052642;68.34049518;3.840253195;30224.74674;5.712246187
SUMATERA;South Sumatra;2;0;3;1;818.6932823;37.71534688;71.18763714;5.372399465;62824.28214;5.562450286
SUMATERA;Bengkulu;2;0;3;1;955.0992223;42.77610259;73.76226138;3.74833041;9307.114025;5.621255475
SUMATERA;Lampung;2;0;3;1;733.3745264;31.59869813;70.83588233;8.566625567;48969.93389;5.535531021
SUMATERA;Bangka Belitung;2;0;3;1;784.6342831;21.76466652;68.08066639;5.96086063;11249.87487;4.749206436
SUMATERA;Riau Islands;1;1;1;3;1365.340389;39.97596542;67.96218108;24.88119302;37044.36943;5.649976047
JAWA;Jakarta;1;1;1;3;1295.692627;44.52332759;68.54902554;14.23797704;358044.4127;6.155653373
JAWA;West Java;1;1;2;2;942.206786;24.71266886;64.37856516;20.12087171;297042.6571;5.691982879
JAWA;Central Java;2;0;3;1;668.8549431;28.91663909;70.46721909;19.31696695;198645.6298;5.307519889
JAWA;Yogyakarta;2;0;3;1;784.3815897;27.06340757;71.63270172;14.1978772;20639.33547;5.480177897
JAWA;East Java;2;0;3;1;734.6818978;27.54717339;69.82171119;14.10905414;326452.2235;5.834279383
JAWA;Banten;1;1;1;3;987.9893081;30.04629687;66.40071824;23.90295233;90272.71195;5.986226857
BALNUSTRA;Bali;1;1;2;2;1001.067022;32.41899088;77.47803929;13.76541348;31623.10448;6.328426597
BALNUSTRA;East Nusa Tenggara;2;0;3;1;904.8017042;30.81698543;70.04701567;9.536209381;13979.6197;5.240958469
BALNUSTRA;West Nusa Tenggara;2;0;3;1;785.6668484;38.31895988;73.95033158;6.939451792;20249.6898;3.664225753
KALIMANTAN;West Kalimantan;2;0;3;1;887.2568118;32.12631884;72.8951822;4.465034816;27615.38111;5.324235935
KALIMANTAN;Central Kalimantan;1;1;2;2;857.2431415;42.56457048;72.99252175;3.564852836;19306.0126;6.609281061
KALIMANTAN;South Kalimantan;2;0;3;1;830.4254359;22.16379715;71.90760389;7.112473479;27291.16285;5.095462475
KALIMANTAN;East Kalimantan;1;1;2;2;1392.207257;25.59146353;67.35088663;6.082549202;109739.2466;2.763519482
KALIMANTAN;North Kalimantan;1;1;2;2;880.5599182;30.84913783;30.96284583;7.571103712;11996.21552;6.612621748
SULAWESI;North Sulawesi;1;1;2;2;929.6796609;37.69220572;65.25728184;6.647885815;17301.28698;6.221622412
SULAWESI;Central Sulawesi;2;0;3;1;849.9456076;38.35671079;72.13865269;5.107839601;19918.13212;8.93133939
SULAWESI;South Sulawesi;1;1;2;2;876.7985654;36.58365572;63.41380314;6.709988294;61503.3713;7.552993285
SULAWESI;Southeast Sulawesi;2;0;3;1;810.6321916;42.03393309;71.56468595;6.282013021;17759.35684;7.68199713
SULAWESI;Gorontalo;2;0;3;1;683.7585333;31.54505804;67.24755623;8.296579503;5402.300369;6.996606125
SULAWESI;West Sulawesi;2;0;3;1;986.8588679;28.53446191;71.59337899;5.932506344;6255.918937;7.465882389
MAPUA;Maluku;2;0;3;1;1075.680037;29.27856323;65.55509065;5.603511365;6105.653328;6.004941494
MAPUA;North Maluku;2;0;3;1;985.9134915;31.37149622;67.4125092;4.032758307;5057.698475;6.585546015
MAPUA;West Papua;1;1;2;2;1384.345282;18.41623023;70.15741699;4.257632773;12827.0497;4.900488584
MAPUA;Papua;1;1;2;2;1280.026203;26.18830046;78.18740715;1.449107478;31971.18066;3.097245966
